"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-1430728","Metabolism",65,-0.58761020982609,-3.24983310575874,1.8094521632e-10,8.14253473452e-09,4.3807789215e-09,47,"tags=60%, list=31%, signal=73%","ACAA1/HAO1/ACSL1/LHPP/ALDH2/CYB5R3/ADH7/GCHFR/GRHPR/AKR7A3/IVD/SDC1/ADH4/ACAA2/MAOB/GOT2/UGP2/RAB14/RETSAT/KHK/PYGL/UGT2B10/MGST1/HPD/ASL/DPYS/FBP1/GPD1/ALDOB/AGXT/UGT2B15/SLC2A2/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"R-HSA-211859","Biological oxidations",16,-0.637219971383982,-2.39798256440591,5.64111440778097e-05,0.00126925074175072,0.000682871744099802,43,"tags=81%, list=28%, signal=65%","ALDH2/CYB5R3/ADH7/AKR7A3/ADH4/MAOB/UGP2/UGT2B10/MGST1/UGT2B15/CYP2C9/UGT2B7/CYP2C8"
"R-HSA-1280215","Cytokine Signaling in Immune system",23,0.544958350798665,2.36263747842752,0.000198280539853464,0.00297420809780196,0.00160015874267708,75,"tags=96%, list=50%, signal=57%","KPNB1/PPP2R1A/HSPA1A/LMNB1/FN1/ANXA2/PSMC1/ANXA1/CAPZA1/TUBB2A/PSMD8/PSMC3/PPIA/ILF2/PSMD11/HNRNPA2B1/FLNB/ICAM1/TUBB4B/TUBA1B/SKP1/HSPA9"
"R-HSA-8953854","Metabolism of RNA",22,0.514960827380681,2.20024848050949,0.000427559665855602,0.00361721688387686,0.00194610499015597,63,"tags=77%, list=42%, signal=53%","HNRNPA1/HNRNPR/PPP2R1A/HSPA1A/PTBP1/HNRNPA3/HNRNPU/PABPC1/RPS13/HNRNPC/PSMC1/PSMD8/PSMC3/RPL17/PSMD11/HNRNPA2B1/RPL3"
"R-HSA-2262752","Cellular responses to stress",27,0.470644777367878,2.15928203585557,0.000482295584516915,0.00361721688387686,0.00194610499015597,85,"tags=93%, list=56%, signal=49%","HSPA1A/LMNB1/RPS13/HSP90AB1/PSMC1/TLN1/CAPZA1/TUBB2A/PSMD8/PSMC3/RPL17/HYOU1/PSMD11/RPL3/TUBB4B/GSTA1/TUBA1B/CAPZB/SKP1/HSPA9/RPS18/RPS7/HDGF/COX6B1/RPL10A"
"R-HSA-8953897","Cellular responses to stimuli",27,0.470644777367878,2.15928203585557,0.000482295584516915,0.00361721688387686,0.00194610499015597,85,"tags=93%, list=56%, signal=49%","HSPA1A/LMNB1/RPS13/HSP90AB1/PSMC1/TLN1/CAPZA1/TUBB2A/PSMD8/PSMC3/RPL17/HYOU1/PSMD11/RPL3/TUBB4B/GSTA1/TUBA1B/CAPZB/SKP1/HSPA9/RPS18/RPS7/HDGF/COX6B1/RPL10A"
"R-HSA-1640170","Cell Cycle",15,0.536851470837616,2.02345054303727,0.00228981113273785,0.0128801876216504,0.00692969158591716,73,"tags=93%, list=48%, signal=54%","KPNB1/PPP2R1A/LMNB1/HSP90AB1/PSMC1/BANF1/TUBB2A/TUBB/PSMD8/PSMC3/PSMD11/TUBB4B/TUBA1B/SKP1"
"R-HSA-69278","Cell Cycle, Mitotic",15,0.536851470837616,2.02345054303727,0.00228981113273785,0.0128801876216504,0.00692969158591716,73,"tags=93%, list=48%, signal=54%","KPNB1/PPP2R1A/LMNB1/HSP90AB1/PSMC1/BANF1/TUBB2A/TUBB/PSMD8/PSMC3/PSMD11/TUBB4B/TUBA1B/SKP1"
"R-HSA-9824446","Viral Infection Pathways",26,0.438268257400374,1.96564658084525,0.00322842809372986,0.0153044856124088,0.00823399225930768,80,"tags=85%, list=53%, signal=48%","KPNB1/HNRNPA1/HSPA1A/XRCC5/RPS13/HSP90AB1/XRCC6/PSMC1/BANF1/TUBB2A/TUBB/PSMD8/PSMC3/PPIA/RPL17/PSMD11/RPL3/TUBB4B/TUBA1B/SKP1/RPS18/RPS7"
"R-HSA-1643685","Disease",39,0.372973375040858,1.89181519261749,0.00340099680275752,0.0153044856124088,0.00823399225930768,51,"tags=54%, list=34%, signal=48%","KPNB1/HNRNPA1/PPP2R1A/HSPA1A/XRCC5/LMNB1/RPS13/FN1/HSP90AB1/CAPNS1/XRCC6/SND1/PSMC1/BANF1/TLN1/TUBB2A/TUBB/PSMD8/PSMC3/PPIA/RPL17"
