ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0044281	small molecule metabolic process	43	-0.642688014276515	-3.21381835641654	1.47280453398658E-10	6.92218130973692E-08	4.79049053686161E-08	47	tags=72%, list=31%, signal=69%	30/54363/2180/217/131/1727/3712/9380/127/10449/2806/7360/54884/3795/7365/3242/435/1807/2203/2819/229/189/7366/51635/35/383/1373/1559/7364/6470/1558
BP	GO:0006082	organic acid metabolic process	30	-0.684227778793752	-3.14511584583829	7.67455313632974E-10	9.01759993518744E-08	6.24062347138392E-08	47	tags=80%, list=31%, signal=69%	30/54363/2180/131/3712/9380/127/10449/2806/7365/3242/435/2203/2819/229/189/7366/35/383/1373/1559/7364/6470/1558
BP	GO:0019752	carboxylic acid metabolic process	30	-0.684227778793752	-3.14511584583829	7.67455313632974E-10	9.01759993518744E-08	6.24062347138392E-08	47	tags=80%, list=31%, signal=69%	30/54363/2180/131/3712/9380/127/10449/2806/7365/3242/435/2203/2819/229/189/7366/35/383/1373/1559/7364/6470/1558
BP	GO:0043436	oxoacid metabolic process	30	-0.684227778793752	-3.14511584583829	7.67455313632974E-10	9.01759993518744E-08	6.24062347138392E-08	47	tags=80%, list=31%, signal=69%	30/54363/2180/131/3712/9380/127/10449/2806/7365/3242/435/2203/2819/229/189/7366/35/383/1373/1559/7364/6470/1558
BP	GO:0008380	RNA splicing	11	0.850491964968588	2.85355553577244	7.6166258160852E-08	7.15962826712009E-06	4.9548155308849E-06	24	tags=91%, list=16%, signal=82%	3178/10236/5518/3303/5725/220988/3192/26986/6207/3183
MF	GO:0003824	catalytic activity	73	-0.486810381001971	-2.71445510905656	3.35042527887341E-07	2.62449980178417E-05	1.81628317749453E-05	49	tags=53%, list=32%, signal=70%	23011/5878/30/54363/2180/64077/217/131/1727/3712/9380/22977/127/10449/4129/2806/7360/51552/54884/3795/5836/7365/4257/3242/435/1807/2203/2819/229/189/7366/51635/35/383/1373/1559/7364/6470/1558
BP	GO:0016071	mRNA metabolic process	13	0.765676155215594	2.74289310799638	1.12923324321173E-06	7.58199463299305E-05	5.24711386695376E-05	38	tags=92%, list=25%, signal=76%	3178/10236/3303/5725/220988/3192/26986/302/3183/27044/6741/6050
CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	17	-0.699863482471076	-2.6815830987122	1.48114588145575E-06	8.70173205355252E-05	6.0220273338135E-05	53	tags=94%, list=35%, signal=69%	10857/23011/2180/1727/950/92840/51552/54884/7365/4257/3242/7366/51635/1559/7364/1558
CC	GO:0032991	protein-containing complex	76	0.462430468386191	2.62619025704734	2.05182488620295E-06	0.000107150855168376	7.41536713259311E-05	65	tags=62%, list=43%, signal=71%	3837/1192/3178/10236/5518/3303/7520/3069/220988/3192/26986/6207/2335/302/3326/10989/3183/826/5049/2547/1933/27044/5700/6741/8815/6050/908/829/203068/5714/5702/80781/5478/6139/7430/55968/8775/629/7385/10525/3608/5717/3094/3181/6122/348/1936
BP	GO:0006396	RNA processing	14	0.729678029806859	2.67328448222407	2.8895683204397E-06	0.000135809711060666	9.39870116858808E-05	24	tags=71%, list=16%, signal=66%	3178/10236/5518/3303/5725/220988/3192/26986/6207/3183
CC	GO:0140513	nuclear protein-containing complex	13	0.739435856543204	2.64889209478734	4.09550799142556E-06	0.000154981893722936	0.000107255106742189	28	tags=77%, list=19%, signal=69%	3837/3178/10236/7520/220988/3192/26986/302/3183/2547
BP	GO:0032787	monocarboxylic acid metabolic process	23	-0.621450598073206	-2.61715551694122	4.17220219012127E-06	0.000154981893722936	0.000107255106742189	47	tags=78%, list=31%, signal=64%	30/54363/2180/131/3712/9380/127/10449/7365/2203/2819/229/189/7366/35/1559/7364/1558
CC	GO:0005789	endoplasmic reticulum membrane	16	-0.692721017013322	-2.61614706443931	4.2867332306344E-06	0.000154981893722936	0.000107255106742189	53	tags=94%, list=35%, signal=68%	10857/23011/2180/1727/950/92840/54884/7365/4257/3242/7366/51635/1559/7364/1558
BP	GO:0044283	small molecule biosynthetic process	15	-0.713680820451495	-2.65915396122742	8.37729740895882E-06	0.000281237841586475	0.000194630443561525	30	tags=73%, list=20%, signal=65%	10449/2806/435/2203/2819/229/189/1373/1559/6470/1558
MF	GO:0016491	oxidoreductase activity	24	-0.605633769165642	-2.58670356255053	1.04189466797952E-05	0.000326460329300251	0.000225926633267139	47	tags=75%, list=31%, signal=61%	30/54363/217/131/1727/3712/9380/22977/127/4129/54884/4257/3242/2819/51635/35/1559/1558
BP	GO:0051276	chromosome organization	12	0.7379492977594	2.5783793663767	1.48333336601127E-05	0.00043572917626581	0.000301546059274659	41	tags=92%, list=27%, signal=73%	3837/3178/5518/3303/7520/3192/3326/3183/2547/301/908
BP	GO:0010605	negative regulation of macromolecule metabolic process	34	0.508327802204719	2.45633045670557	2.79061544763744E-05	0.000771523094346822	0.000533931995863758	39	tags=59%, list=26%, signal=56%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/6741/8815/6050/301
BP	GO:0031324	negative regulation of cellular metabolic process	33	0.502550456600088	2.42972625740332	5.19561731614221E-05	0.00135663341032602	0.000938857164144996	39	tags=61%, list=26%, signal=58%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/6741/8815/6050/301
BP	GO:0045595	regulation of cell differentiation	15	0.654609116148251	2.46563122593604	5.68679144752009E-05	0.00140673262122865	0.000973528286583772	28	tags=67%, list=19%, signal=60%	1192/5518/3303/7520/5725/3192/2335/302/3326/2547
BP	GO:0006996	organelle organization	48	0.442408204833975	2.32977308950508	6.28910359016542E-05	0.00147793934368887	0.00102280684703217	53	tags=58%, list=35%, signal=56%	3837/3178/5518/3303/7520/4001/3192/302/5358/3326/10989/3183/8407/2547/1983/8815/6050/301/7094/908/829/7280/203068/10493/10487/5478/7430/55968
MF	GO:0016740	transferase activity	17	-0.621573486900361	-2.38160869773414	7.25461268083422E-05	0.00160451297459423	0.00111040203616935	30	tags=65%, list=20%, signal=58%	10449/2806/7360/3795/5836/7365/4257/189/7366/7364/6470
BP	GO:0090304	nucleic acid metabolic process	36	0.4716495674	2.32019986799587	8.19325774260883E-05	0.00160451297459423	0.00111040203616935	64	tags=72%, list=42%, signal=55%	3178/10236/5518/3303/7520/5725/220988/3192/26986/6207/302/3326/3183/2547/27044/6741/8815/6050/908/5702/5478/7430/3608/3094/3181/348
