ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa01100	Metabolic pathways	179	-0.569495655153363	-2.66489394075629	1E-10	0.0000000093	5.78947368421E-09	143	tags=41%, list=22%, signal=44%	7388/132/4143/3157/3155/6652/2098/7915/1329/5860/3418/51181/5096/6472/224/1738/51170/847/64087/1327/7363/123876/1312/10682/38/37/570/130/3029/5313/3158/4128/125/30/4513/126/54363/2805/2180/10998/18/217/131/316/3712/23743/9380/36/2184/127/51144/10449/4129/2806/7360/3795/5836/7365/4257/3242/8529/435/1807/2203/229/189/7366/35/383/1373/1559/7364/6470/1558
hsa00982	Drug metabolism - cytochrome P450	22	-0.79535855575622	-2.51499611883258	3.305734920671E-08	1.21373693178642E-06	7.5558043291741E-07	76	tags=68%, list=12%, signal=62%	7363/130/4128/125/126/131/316/127/4129/7365/4257/7366/1559/7364/1558
hsa00830	Retinol metabolism	17	-0.851255598972272	-2.48143998890876	3.915280425117E-08	1.21373693178642E-06	7.5558043291741E-07	97	tags=76%, list=15%, signal=67%	7363/130/125/126/131/316/127/54884/7365/7366/1559/7364/1558
hsa00350	Tyrosine metabolism	16	-0.839687770809708	-2.41913794560005	8.861200907994E-08	2.06022921110851E-06	1.28254223668329E-06	94	tags=81%, list=14%, signal=71%	1312/130/4128/125/126/2805/131/316/2184/127/4129/2806/3242
hsa00071	Fatty acid degradation	23	-0.754659453673877	-2.40948606762849	2.6313581646056E-07	4.89432618616644E-06	3.04683576954334E-06	107	tags=65%, list=16%, signal=57%	224/38/37/130/1632/125/30/126/2180/217/131/36/127/10449/35
hsa01200	Carbon metabolism	38	-0.621277651932876	-2.2284890117813	6.9549048926479E-06	0.000107801025836043	6.71087314202868E-05	206	tags=66%, list=31%, signal=48%	26275/4191/8802/6389/4329/2746/51/2653/2098/3418/5096/6472/1738/847/38/5313/54363/2805/2806/2203/229/189/35/1373/6470
hsa00280	Valine, leucine and isoleucine degradation	26	-0.676728444366254	-2.2258552516545	1.16343165705049E-05	0.000154570205865279	9.62236708838749E-05	139	tags=85%, list=21%, signal=69%	3033/3028/3032/26275/4329/34/3157/3155/5096/224/1738/64087/38/3158/30/18/217/316/3712/36/10449/35
hsa01230	Biosynthesis of amino acids	20	-0.701512076669553	-2.1783937174085	4.70948351170097E-05	0.000547477458235237	0.000340817885715202	72	tags=55%, list=11%, signal=51%	4143/3418/6472/5313/2805/2806/435/229/383/1373/6470
hsa00010	Glycolysis / Gluconeogenesis	20	-0.678244182244656	-2.10614031405562	0.000146059326348174	0.0015092797055978	0.000939562918029191	107	tags=55%, list=16%, signal=47%	224/1738/130/5313/125/126/217/131/127/2203/229
hsa00620	Pyruvate metabolism	21	-0.666397792607272	-2.07871205808884	0.000216956980104922	0.00201769991497578	0.00125606672692323	107	tags=57%, list=16%, signal=49%	224/1738/38/130/3029/5313/125/126/217/131/9380/127
hsa05204	Chemical carcinogenesis - DNA adducts	15	-0.731367201525914	-2.07241405411515	0.0002748681718422	0.00232388545284769	0.00144667458864316	22	tags=40%, list=3%, signal=40%	7365/4257/7366/1559/7364/1558
hsa00630	Glyoxylate and dicarboxylate metabolism	12	-0.763710666869997	-2.01505346253762	0.000507990845388728	0.00363408835547321	0.00226230740861377	112	tags=75%, list=17%, signal=63%	5096/6472/1738/847/38/54363/9380/189/6470
hsa00380	Tryptophan metabolism	12	-0.76368197264756	-2.01497775272397	0.000507990845388728	0.00363408835547321	0.00226230740861377	107	tags=67%, list=16%, signal=57%	224/1738/847/38/4128/217/316/4129
hsa00980	Metabolism of xenobiotics by cytochrome P450	22	-0.631257773132524	-1.99609451350116	0.000620647719624442	0.00412287413750522	0.00256658831423641	76	tags=55%, list=12%, signal=50%	7363/130/125/126/131/22977/127/7365/4257/7366/1559/7364
hsa03010	Ribosome	44	0.488431657503269	1.78136137804322	0.000931921302394968	0.0057779120748488	0.00359688923731391	277	tags=68%, list=42%, signal=42%	6207/6139/6204/6122/6191/6222/6201/4736/6129/6138/6189/3921/6202/6188/6146/2197/6206/6124/6133/6208/6132/6193/6175/6218/6135/6187/9045/6223/6144/6176
hsa05171	Coronavirus disease - COVID-19	51	0.481702467139253	1.79875945396675	0.00114810108111604	0.00667333753398696	0.00415431312245934	277	tags=65%, list=42%, signal=41%	6207/6139/629/6204/6122/6191/6222/6201/2147/4736/6129/6138/6189/3921/6202/6188/6146/2197/6206/6124/6133/6208/6132/6193/6175/729/6218/6135/6187/9045/6223/6144/6176
