ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-1430728	Metabolism	65	-0.58761020982609	-3.24983310575874	1.8094521632E-10	8.14253473452E-09	4.3807789215E-09	47	tags=60%, list=31%, signal=73%	30/54363/2180/64077/217/1727/131/2644/9380/22977/3712/6382/127/10449/4129/2806/7360/51552/54884/3795/5836/7365/4257/3242/435/1807/2203/2819/229/189/7366/6514/35/383/1373/1559/7364/6470/1558
R-HSA-211859	Biological oxidations	16	-0.637219971383982	-2.39798256440591	5.64111440778097E-05	0.00126925074175072	0.000682871744099802	43	tags=81%, list=28%, signal=65%	217/1727/131/22977/127/4129/7360/7365/4257/7366/1559/7364/1558
R-HSA-1280215	Cytokine Signaling in Immune system	23	0.544958350798665	2.36263747842752	0.000198280539853464	0.00297420809780196	0.00160015874267708	75	tags=96%, list=50%, signal=57%	3837/5518/3303/4001/2335/302/5700/301/829/7280/5714/5702/5478/3608/5717/3181/2317/3383/10383/10376/6500/3313
R-HSA-8953854	Metabolism of RNA	22	0.514960827380681	2.20024848050949	0.000427559665855602	0.00361721688387686	0.00194610499015597	63	tags=77%, list=42%, signal=53%	3178/10236/5518/3303/5725/220988/3192/26986/6207/3183/5700/5714/5702/6139/5717/3181/6122
R-HSA-2262752	Cellular responses to stress	27	0.470644777367878	2.15928203585557	0.000482295584516915	0.00361721688387686	0.00194610499015597	85	tags=93%, list=56%, signal=49%	3303/4001/6207/3326/5700/7094/829/7280/5714/5702/6139/10525/5717/6122/10383/2938/10376/832/6500/3313/6222/6201/3068/1340/4736
R-HSA-8953897	Cellular responses to stimuli	27	0.470644777367878	2.15928203585557	0.000482295584516915	0.00361721688387686	0.00194610499015597	85	tags=93%, list=56%, signal=49%	3303/4001/6207/3326/5700/7094/829/7280/5714/5702/6139/10525/5717/6122/10383/2938/10376/832/6500/3313/6222/6201/3068/1340/4736
R-HSA-1640170	Cell Cycle	15	0.536851470837616	2.02345054303727	0.00228981113273785	0.0128801876216504	0.00692969158591716	73	tags=93%, list=48%, signal=54%	3837/5518/4001/3326/5700/8815/7280/203068/5714/5702/5717/10383/10376/6500
R-HSA-69278	Cell Cycle, Mitotic	15	0.536851470837616	2.02345054303727	0.00228981113273785	0.0128801876216504	0.00692969158591716	73	tags=93%, list=48%, signal=54%	3837/5518/4001/3326/5700/8815/7280/203068/5714/5702/5717/10383/10376/6500
R-HSA-9824446	Viral Infection Pathways	26	0.438268257400374	1.96564658084525	0.00322842809372986	0.0153044856124088	0.00823399225930768	80	tags=85%, list=53%, signal=48%	3837/3178/3303/7520/6207/3326/2547/5700/8815/7280/203068/5714/5702/5478/6139/5717/6122/10383/10376/6500/6222/6201
R-HSA-1643685	Disease	39	0.372973375040858	1.89181519261749	0.00340099680275752	0.0153044856124088	0.00823399225930768	51	tags=54%, list=34%, signal=48%	3837/3178/5518/3303/7520/4001/6207/2335/3326/826/2547/27044/5700/8815/7094/7280/203068/5714/5702/5478/6139
R-HSA-449147	Signaling by Interleukins	16	0.494170257261369	1.89544015751049	0.00591534135698091	0.0225925655035792	0.0121550644814578	75	tags=94%, list=50%, signal=53%	5518/4001/2335/302/5700/301/829/5714/5702/5478/5717/3181/3383/6500/3313
R-HSA-68886	M Phase	13	0.539151432744124	1.88908571465681	0.0060246841342878	0.0225925655035792	0.0121550644814578	71	tags=92%, list=47%, signal=54%	3837/5518/4001/5700/8815/7280/203068/5714/5702/5717/10383/10376
R-HSA-2555396	Mitotic Metaphase and Anaphase	11	0.571428571428571	1.90931427329709	0.00745845609447936	0.0239736088751122	0.0128980819678966	71	tags=100%, list=47%, signal=57%	3837/5518/4001/5700/8815/7280/5714/5702/5717/10383/10376
R-HSA-68882	Mitotic Anaphase	11	0.571428571428571	1.90931427329709	0.00745845609447936	0.0239736088751122	0.0128980819678966	71	tags=100%, list=47%, signal=57%	3837/5518/4001/5700/8815/7280/5714/5702/5717/10383/10376
R-HSA-5663205	Infectious disease	28	0.397310038459547	1.84822880579479	0.00808460783355021	0.0242538235006506	0.0130488407138003	85	tags=86%, list=56%, signal=46%	3837/3178/3303/7520/6207/3326/2547/5700/8815/7280/203068/5714/5702/5478/6139/5717/6122/10383/10376/6500/6222/6201/10094/4736
R-HSA-162906	HIV Infection	10	0.58199939348976	1.85413520511744	0.010017460674826	0.0281741081479481	0.0151579997053288	59	tags=90%, list=39%, signal=59%	3837/7520/2547/5700/8815/5714/5702/5478/5717
R-HSA-453274	Mitotic G2-G2/M phases	12	0.511432234888077	1.7801489929266	0.0180304650023697	0.0427037329003494	0.0229751077592523	73	tags=92%, list=48%, signal=51%	5518/3326/5700/7280/203068/5714/5702/5717/10383/10376/6500
R-HSA-69275	G2/M Transition	12	0.511432234888077	1.7801489929266	0.0180304650023697	0.0427037329003494	0.0229751077592523	73	tags=92%, list=48%, signal=51%	5518/3326/5700/7280/203068/5714/5702/5717/10383/10376/6500
R-HSA-162582	Signal Transduction	30	0.355711864820769	1.67712067520438	0.0163772592658589	0.0427037329003494	0.0229751077592523	76	tags=73%, list=50%, signal=45%	3178/5518/4001/5725/2335/3326/3183/5700/301/7094/908/7280/5714/5702/55968/5717/348/10383/10376/832/6500/10970
R-HSA-392499	Metabolism of proteins	33	0.354256026045994	1.70044573274961	0.0209688734532474	0.0471799652698066	0.0253833731276153	80	tags=79%, list=53%, signal=47%	5464/26986/6207/2335/3183/1933/1983/5700/908/829/7280/5714/5702/6139/8775/5717/6122/348/1936/10383/10376/832/6500/10970/6222/6201
R-HSA-168256	Immune System	49	0.307524111075235	1.65354626467222	0.024682191084895	0.052890409467632	0.0284556588948664	78	tags=71%, list=52%, signal=51%	3837/5518/3303/7520/4001/2335/302/3326/5049/2547/8836/5700/301/829/7280/203068/5714/10493/10487/5702/5478/629/3608/5717/654364/3181/2317/3383/10383/10376/832/6500/3313/10970/81567
R-HSA-1280218	Adaptive Immune System	15	0.416127801890908	1.56843013840555	0.0385428894294914	0.0788377283785051	0.0424156199463302	73	tags=87%, list=48%, signal=50%	5518/5700/829/7280/5714/5702/5478/5717/3383/10383/10376/832/6500
R-HSA-71291	Metabolism of amino acids and derivatives	23	-0.347077534239159	-1.50609372627497	0.0622489959839357	0.119760479041916	0.0644325384319081	36	tags=39%, list=24%, signal=35%	9380/3712/2806/3242/435/189/383/1373/6470
R-HSA-376176	Signaling by ROBO receptors	13	0.427536231884058	1.49800694035006	0.063872255489022	0.119760479041916	0.0644325384319081	92	tags=100%, list=61%, signal=43%	26986/6207/5700/5714/10487/5702/6139/5717/6122/6222/6201/4736/6189
R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	11	0.459586456105583	1.53561621579873	0.0714285714285714	0.124857712009106	0.0671749093850163	59	tags=73%, list=39%, signal=48%	5518/2335/27044/5700/7094/5714/5702/5717
R-HSA-9679506	SARS-CoV Infections	11	0.454298468760575	1.51794746379776	0.0734126984126984	0.124857712009106	0.0671749093850163	21	tags=36%, list=14%, signal=34%	3837/3178/6207/3326
R-HSA-72766	Translation	12	0.424460431654676	1.47742507883302	0.0776892430278884	0.124857712009106	0.0671749093850163	92	tags=100%, list=61%, signal=42%	5464/26986/6207/1933/1983/6139/6122/1936/6222/6201/4736/6189
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	12	0.424460431654676	1.47742507883302	0.0776892430278884	0.124857712009106	0.0671749093850163	92	tags=100%, list=61%, signal=42%	26986/6207/5700/5714/5702/6139/5717/6122/6222/6201/4736/6189
R-HSA-556833	Metabolism of lipids	12	-0.424193985193271	-1.43372167988654	0.104	0.14625	0.0786842105263158	30	tags=75%, list=20%, signal=65%	38/30/2180/10449/51552/2819/35/1559/1558
R-HSA-422475	Axon guidance	24	0.3249152028893	1.43051600028555	0.101419878296146	0.14625	0.0786842105263158	87	tags=83%, list=58%, signal=42%	26986/6207/3326/5700/7094/7280/5714/10487/5702/6139/7430/5717/6122/10383/10376/6222/6201/10094/4736/6711
